career_name,combined_text
Travel Allied Health Professional - Radiology Technologist,"Travel Allied Health Professional - Radiology Technologist Mid senior Onsite Radiology Technologist, Allied Health Professional, Travel, 40 hours per week, 8 hours shift, Medical benefits, Vision benefits, Dental benefits, 401k retirement plan, Weekly pay, Referral bonus Radiology Technologist, Allied Health Professional, Travel, 40 hours per week, 8 hours shift, Medical benefits, Vision benefits, Dental benefits, 401k retirement plan, Weekly pay, Referral bonus Planet Healthcare is seeking a travel Radiology Technologist for a travel job in Portsmouth, New Hampshire.
Job Description & Requirements
Specialty: Radiology Technologist
Discipline: Allied Health Professional
Duration: 13 weeks
40 hours per week
Shift: 8 hours
Employment Type: Travel
Planet Healthcare Job ID #6-737783. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined.
About Planet Healthcare
Delivering Vital Healthcare Talent. Today.
Planet Healthcare is a global leader in clinical staffing because we take a candidate-first approach. We pride ourselves on a consultative method and help to create the right opportunity, at the right time, with each healthcare professional. The recruitment engine at Planet Healthcare is driven by leaders in this market, who understand the market demands and trends within your specialty. With a wide array of job opportunities and geographic diversity in our client base, we are your advocate and will work to find the best position for you. We are ready to go to work. Welcome to Planet Healthcare.
Our Methodology
Let’s face it; finding a new job can be scary. Whether you’re currently employed or in between positions, the search can feel overwhelming. If you’re looking for support, guidance and an upper-hand on the competition, you’ve come to the right place. We know that not every job, company or commute is right for everyone, so Planet Healthcare recruiters are trained to not only discuss our open job orders, but to find out about your search and take a proactive approach to the market. Our recruiters are experts in this industry and we are your advocate and partner during your job search. We look forward to working with you soon.
CLEVELAND | CHICAGO | RALEIGH | BOSTON | PHOENIX
Benefits
Medical benefits
Vision benefits
Dental benefits
401k retirement plan
Weekly pay
Referral bonus
Show more
Show less"
Vetco Clinic Advisor,"Vetco Clinic Advisor Mid senior Onsite Customer service, Teamwork, Communication, Pet care, Veterinary services, Retail, Distribution, Animal welfare, Problemsolving, Adaptability, Accountability, Attention to detail, Ability to work in a changing environment, Cando attitude Customer service, Teamwork, Communication, Pet care, Veterinary services, Retail, Distribution, Animal welfare, Problemsolving, Adaptability, Accountability, Attention to detail, Ability to work in a changing environment, Cando attitude Create a healthier, brighter future for pets, pet parents and people!
If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.
Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.
We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are
Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong, working together across 1,500+ pet care centers, 250+ Vetco Total Care hospitals, hundreds of preventive care clinics, eight distribution centers and two support centers.
Our vision at Petco is Healthier Pets. Happier People. Better World. We’re making things better for pets, people and the planet through our Think Adoption First philosophy, the Petco Foundation and other important initiatives that focus on putting animals first, educating pet parents and reducing our carbon footprint. The journey starts with knowledgeable, passionately engaged associates who are proud to recommend Petco as a place to work, who believe in our Vision and who are committed to delivering a superior customer experience. From our retail stores and our network of Distribution Centers to our Corporate offices, you'll work with others who share your values and commitment. We seek individuals who are passionate about animal welfare, have great people skills and are driven to grow and advance in their careers with us. Our ongoing growth is creating exceptional opportunities for professional development and personal enrichment throughout our organization. As a Vetco Customer Service Team member, you will meet your team at our local dispatch office, then travel to your assigned Petco clinic locations for the day. At the clinics, you and your team will greet the pet parents and recommend the services that will best protect their pets. The Customer Service Team will assist the Veterinarian so the services can be administered and thank the pet parent for protecting their pet with Vetco! Essential Job Functions: The incumbent must be able to perform all of the following duties and responsibilities w ith or without a reasonable accommodation. - Must love dogs and cats…and people too! - Team player who thrives on supporting the team in every way. - Make good recommendations to our clients and providing exceptional customer service. - Works hard and has fun doing it! - Eager to learn. - Ability to work in changing environments, traveling throughout our Market. - Responsible and accountable individuals. - A can-do attitude.
Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.
To translate this webpage to Spanish or other languages on your internet browser click the translate button to the right of your browser address bar. Additional instruction can be found here: https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop
Para Traducir Esta Página Web Al Español u Otros Idiomas En Su Navegador De Internet, Haga Clic En El Botón De Traducción a La Derecha De La Barra De Direcciones De Su Navegador. Puede Encontrar Instrucciones Adicionales Aquí
https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop
Show more
Show less"
Club Door Supervisor (FT),"Club Door Supervisor (FT) Mid senior Onsite Security experience, SIA security license, Customer service skills, Communication skills, Basic computer skills, Driving license, Access to own vehicle Security experience, SIA security license, Customer service skills, Communication skills, Basic computer skills, Driving license, Access to own vehicle TLG Security Management.
We are looking for Guards who have experience in pubs and bars.
Our team needs to be immaculately turned out, polite and proactive when engaging with customers to ensure a complete customer experience is provided, as we aim to maintain our outstanding reputation for excellence.
Qualifications
To work with us you will need to be confident.
Articulate and you must be able to communicate well both orally and in written language.
You will need to be able to get to different sites as required using your own transport or public transport.
Desirable Skills
Security experience.
An SIA security license.
Excellent customer service skills.
Basic knowledge of computers.
A full driving license and access to your own vehicle are desirable but not essential.
Note
Please be aware before you apply to this advert:
We are looking for staff to work at our pubs, clubs, venues, and events.
We are looking for professional staff with experience and we are willing to pay more than the industry average.
Show more
Show less"
Insurance Agent,"Insurance Agent Mid senior Onsite Insurance, Sales, Communication, Customer service, Problemsolving, Time management, Health insurance, Supplemental insurance, Licensing, Quoting tools, Training resources Insurance, Sales, Communication, Customer service, Problemsolving, Time management, Health insurance, Supplemental insurance, Licensing, Quoting tools, Training resources Company Description
Jobs for Humanity is partnering with HealthMarkets to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: HealthMarkets
Job Description
HealthMarkets Overview
If you’re looking for an exciting opportunity where you can change people’s lives and achieve financial success as an independent insurance agent, you’ve come to the right place. Becoming an independent insurance agent with HealthMarkets is an opportunity unlike any other. HealthMarkets offers agents the resources and support they need to grow their businesses and succeed in the industry, all while making a difference in people’s lives.
And who are we? HealthMarkets is a technology-enabled health insurance agency delivering high-touch, customized health and supplemental insurance solutions to individuals, families and small businesses. Millions of Americans depend on us to help explore their insurance coverage options – and we’re looking for independent insurance agents like you to help us continue that mission.
So, whether you’re an experienced insurance agent looking for your next opportunity or are just starting out and looking for an opportunity to demonstrate your talents, HealthMarkets is the career move that can help change your life.
Job Description
If you’re an insurance agent with 4-5 years of experience, we want you. As an independent contractor licensed insurance agent with HealthMarkets, you’ll be collaborating with one of the largest independent health insurance agencies in the US. You’ll have the opportunity to grow a flourishing business, all while making a difference in people’s lives.
Not only that, but HealthMarkets will offer you the resources you need to succeed. We’ll give you access to leads, quoting tools, training resources, and more so you can focus on what you do best: selling. Contact us today and succeed on your terms with HealthMarkets.
48640-HM-0523
Show more
Show less"
Host/Hostess,"Host/Hostess Mid senior Onsite Customer Service, Retail Sales, Food Service, Teamoriented Environment, Highvolume Environment, Fastpaced Environment, Communication, English Customer Service, Retail Sales, Food Service, Teamoriented Environment, Highvolume Environment, Fastpaced Environment, Communication, English Location: Gilroy, CA
Employment Type: Part-Time
Salary: Competitive
Job Description
We are looking for resonsible, outgoing & fun people. The Sushi Omakase host/hostess is responsible for welcoming the guests 'loud & proud' as they enter the restaurant. It is the job of the host to greet arriving guests, welcome them into the establishment and seat them. The guests receive their first impression of Sushi Omaksae from the host/hostess.
As a Host/Hostess You Will Work In a Team-oriented, High-volume, Fast-paced, Environment To Deliver The Best Dining Experience To Our Guests By
Greeting guests in a friendly and inviting manner
Engaging in friendly conversation as you seat guests in a timely fashion
Introducing guests to their server
Managing restaurant waiting list during high volume to accurately setting guest expectations
Clearing, cleaning and resetting tables to ensure they are ready for the next guest
Always sincerely thanking guests as they leave and inviting them to return
Requirements
Minimum of 6 months of customer service, retail sales, or food service experience preferred
Demonstrated ability to interact with the public and coworkers in a friendly, enthusiastic and outgoing manner
Ability to bend, twist, and stand to perform normal job functions
Ability to speak, read and comprehend instructions, short correspondence and policy documents, as well as converse comfortably with customers in English
Show more
Show less"
Leasing Consultant,"Leasing Consultant Mid senior Onsite Leasing, Customer service, Multifamily property management, Microsoft Office, Yardi Voyager, Property management software, Sales, Technical, Leadership Leasing, Customer service, Multifamily property management, Microsoft Office, Yardi Voyager, Property management software, Sales, Technical, Leadership Job Details
Description
Start with a job, stay for a career.
For over 100 years, Edward Rose & Sons has been committed to career development for our team members. We offer you the opportunity to grow in an environment where you will feel valued, have room for advancement, and be rewarded for your good work.
We are currently looking for a
Leasing Consultant
to join our on-site community team to help support a positive experience for our residents.
CLICK HERE to see a day in the life of a Leasing Consultant at Edward Rose & Sons!
What are the responsibilities of a Leasing Consultant?
Present community information to prospective renters in a professional manner to appeal to their rental needs
Provide accurate information on the selling features of the community and surrounding area
Build positive rapport with potential residents by answering telephone and email communications in a timely manner
Process applications for prospective residents and follow up to maintain consistent communication
Prepare lease contracts and other required documents
Follow procedures to coordinate residents moving in and out of the community, making sure to properly document events and communicate the status to the proper departments
Listen to resident complaints and help develop solutions for them
Additional duties as assigned by manager
What are the role requirements?
Previous sales or customer service experience is required
Previous experience in multi-family property management is preferred
Previous leasing experience is preferred
Must be proficient with Microsoft Office programs
Experience using Yardi Voyager or related property management software is preferred
Maintain a professional appearance following team dress code policy
Must be flexible with work schedule. Weekend hours may be assigned
Have reliable transportation and valid driver’s license
What's in it for you?
Comprehensive benefits package, including 401(k) with company match
On the job training and development
Generous paid time off programs
Competitive compensation plan with bonus opportunities
Great work environment
Opportunities for advancement
Discounted apartment home
Compensation:Starting at $16.35 per hour or higher, based on experience
Grow a Career with Edward Rose & Sons!
Edward Rose & Sons is committed to career development for our team. We offer training and development through on the job, technical, sales, and leadership tracks and provide solid growth potential in all areas of our business.
Our Mission, Vision, And Values
We are an Equal Opportunity Employer, and we affirmatively seek diversity in our workplace. We recruit qualified candidates and advance our employees without regard to race, color, religion, gender, age, disability, genetic information, ethnic or national origin, marital status, veteran status, or any other status or characteristic protected by federal, state or local laws.
Show more
Show less"
Registered Nurse (RN),"Registered Nurse (RN) Mid senior Onsite Registered Nurse (RN), Nursing, Long Term Care (LTC), Ohio, Nurse license, Government Issued ID, Physical exam, PPD, Chest Xray, CPR / BLS, Healthcare staffing, Patient care Registered Nurse (RN), Nursing, Long Term Care (LTC), Ohio, Nurse license, Government Issued ID, Physical exam, PPD, Chest Xray, CPR / BLS, Healthcare staffing, Patient care WE OFFER AMAZING PAY YOU WON'T FIND ANYWHERE ELSE!! SHIFTS AVAILABLE!!
Samba Care
is currently seeking experienced
Registered Nurse (RN)
to join its team, working at Long Term Care (LTC) facilities and hospitals throughout Ohio! We offer great rates and flexible schedules. All shifts are available; part time, full time, and per diem. Special shifts available working for hospice at select locations!
We offer:
Referral Bonuses
Weekly pay & direct deposit
Great variety of locations and shifts
Amazing Pay!!!
Please bring the following on your interview.
Current Resume
Ohio Registered Nurse (RN) license
2 Government Issued ID (Driver's License, State ID, Social Security or any ID's that shows proof of work eligibility)
Physical exam and PPD (PPD step 1 and 2)
Chest X-ray if PPD is positive
CPR / BLS
Samba Care
is a leading healthcare staffing agency in Ohio. We maintain excellence in partnering caregivers with healthcare facilities. Our mission is to facilitate the highest level in patient care while enabling our staff members to advance their careers with rewarding jobs.
Show more
Show less"
Cable Installation Technician,"Cable Installation Technician Mid senior Onsite Rapportbuilding, Ladderclimbing, Heavylifting, Driver's license, Travel, Customer service, Installation, Consultation, Smart home solutions Rapportbuilding, Ladderclimbing, Heavylifting, Drivers license, Travel, Customer service, Installation, Consultation, Smart home solutions Company Description
Jobs for Humanity is partnering with DISH to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: DISH
Job Description
Department Summary
Our Technicians deliver TV and Smart Home solutions to millions of customers. As a technician, we will train you to lead the charge for a world class customer experience, educating and connecting more Americans with every home you visit. You’re the backbone of our organization and ensure an excellent customer experience. Our dedication to customer experience is paying off: in 2023, DISH earned the J.D. Power award for being #1 in Overall Customer Satisfaction for the sixth year in a row.
Job Duties And Responsibilities
What’s in it for you?
Guaranteed promotion after 6 months with a $1.00 per hour pay increase!
Performance Incentives with the potential for up to $6,400 in your first year and $9,100 each following year!
Paid training, paid time off & paid holidays
4-day work week with opportunities to work overtime
Medical, Dental, Vision and Life Insurance packages and Health Savings Account
Free DISH TV programming at a value of $114.99/month at your home, plus deeply discounted Sling TV and Boost Infinite phone plans
401(K) with company match & Employee stock purchasing program (ESPP)
Tuition Reimbursement
DISH-supplied van, tools, and uniforms
Our greatest benefit is opportunity with over 400 of our current technician leadership starting as a technician.
If you have grit and tenacity, you will grow quickly at DISH! Performance based promotions include an automatic 5% pay increase at level 2 and 10% at levels 3 and 4.
What will you be doing?
As a Field Technician, you will be representing DISH in customers' homes daily. We build our value by simplifying lives and using the DISH install to consult homeowners on their infinite smart home possibilities.
Skills, Experience And Requirements
All technicians must have:
Aptitude to build rapport quickly. We want you to have a great time servicing our clients
Ability to work at heights, including ladders up to 40 feet, and in all weather conditions
Ability to lift over 70 lbs
A valid driver's license in the state you are seeking employment with a driving record that meets DISH's safety standard
Travel may be required
Salary Range
Compensation: $25.75/Hour
Compensation And Benefits
From versatile health perks to new career opportunities, check out our benefits on our careers website.
Employment is contingent on successful completion of a pre-employment screen, to include a drug test and an acceptable driving record. Compensation listed may reflect a combination of hourly pay rate and location pay differential.
This will be posted for a minimum of 3 days or until the position is filled.
Show more
Show less"
Attorney with 1 year of experience in workers' compensation,"Attorney with 1 year of experience in workers' compensation Mid senior Onsite Workers' Compensation Law, Attorney, Legal Research, Legal Writing, Litigation, Trial Advocacy, Bar Admission, Bilingual Skills, Health Insurance, Paid Time Off Workers Compensation Law, Attorney, Legal Research, Legal Writing, Litigation, Trial Advocacy, Bar Admission, Bilingual Skills, Health Insurance, Paid Time Off Practice Area: Workers' Compensation Law - General, Job Type: Attorney,
Firm Type: Law Firm, Experience: 1 Years, Rego Park office of a BCG Attorney Search Top Ranked Law Firm seeks an attorney with 1 year of experience handling NY workers' compensation cases. The candidate must have Bar admission. Bilingual skills are preferred. The firm offers health insurance and paid time off.
Show more
Show less"
Shift Manager,"Shift Manager Mid senior Onsite Leadership, Customer service, Food safety, Inventory management, Scheduling, Training, Communication, Food production, Maintenance, Cleanliness, Safety, Security Leadership, Customer service, Food safety, Inventory management, Scheduling, Training, Communication, Food production, Maintenance, Cleanliness, Safety, Security This job posting is for a position in a restaurant owned and operated by an independent franchisee and not McDonald’s USA. This franchisee owns a license to use McDonald’s logos and food products, for example, when running the restaurant. However, this franchisee is a separate company and a separate employer from McDonald’s USA. If you are hired for the job described in this posting, the franchisee will be your employer, not McDonald’s USA. Only the franchisee is responsible for employment matters at the restaurant, including hiring, firing, discipline, supervisions, staffing, and scheduling employees. McDonald’s USA has no control over employment matters at the restaurant. McDonald’s USA will not receive a copy of your employment application and it will have no involvement in any employment decisions, including whether you receive an interview for the job or whether you are hired.
Description
McDonald's Works for Me.
I’m going places. I want a satisfying career with good benefits and great opportunities for advancement. I have a lot to offer and I want to grow.
The Job for Me – Get a job that inspires your best and moves you forward. Choose your hours. Pursue your education. Build your skills and be yourself.
The Team for Me – Our people want to say YES — to working with energy and purpose, finding new talent, providing coaching and direction, honing their leadership skills, and helping to run a business that serves up delicious food and feel-good moments. Does this sound like you? You’ll fit right in.
The Company for Me – From here, you can go further than you thought possible. Reach your goals and build your future with college tuition assistance, valuable job training, and retirement benefits.
Let’s talk. Make your move.
Requirements
Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customers.
Shift Managers perform a variety of tasks, which may include planning for each shift, monitoring performance during the shift, taking action to ensure the team is meeting McDonald’s standards, monitoring safety, security, and profitability, and communicating with the next Shift Manager to help prepare him/her to run a great shift, too. Shift Managers may also be responsible for meeting targets during their shifts and for helping their assigned Departments meet their goals.
As a Shift Manager, You May Be Responsible For
Food Safety
Internal Communication
Inventory Management
Daily Maintenance and Cleanliness
Managing Crew
Quality Food Production
Exceptional Customer Service
Safety and Security
Scheduling
Training
Previous leadership experience is preferred, ideally within a restaurant, retail or hospitality environment. We’re looking for positive team players with a flexible schedule who like to have fun, with the passion to work the famously fast paced McDonald’s environment. You must be 18 years or older to be a manager in our corporate owned and operated restaurants.
Additional Info
Along with competitive pay, a Shift Manager at a McDonald’s Corporate owned restaurant is eligible for incredible benefits including:
15-25 days paid vacation
10 paid holidays and 8-week sabbatical every 10 years
Education through Archways to Opportunity including opportunities to earn a High School degree, college tuition assistance and English classes as a second language
Medical, dental and vision coverage
Pre-tax flexible spending accounts
Short- and Long-Term Disability, life and accident insurance
Paid Leaves of Absence
Service awards
Employee Resource Connection
Adoption Assistance
Matching gifts program
This job posting contains some information about what it is like to work in a McDonald’s restaurant, but it is not a complete job description. People who work in a McDonald’s restaurant perform a number of different tasks every day, and this posting does not list all of the essential functions of this job.
By applying to this position, I understand that I am applying to work at a restaurant that is owned and operated by an independent franchisee, not McDonald’s USA. I understand that this franchisee is a separate company and a separate employer from McDonald’s USA. Any information I provide in this application will be submitted only to the independent franchisee, who is the only company responsible for employment matters at this restaurant. I recognize that the independent franchisee alone will make all decisions concerning employment matters, including hiring, firing, discipline, supervision, staffing and scheduling. By applying for a job at a franchisee operated restaurant, I understand that the information I provide will be forwarded to the franchisee organization in order for that organization to reach out to me and process and evaluate my application. I acknowledge that McDonald’s USA will not receive a copy of my employment application and will have no involvement in any employment decisions regarding me, including whether I receive an interview or whether I am hired to work for the franchisee. I understand that I need to contact the franchise organization for information about its privacy practices.
Show more
Show less"
