user_skills,career,required_skills,is_good_match
"python, data analysis, project management, java, problem solving, debugging",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"java, design, machine learning, writing, creativity, leadership",Graphic Designer,"design, creativity, communication",0
"creativity, leadership, python",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"python, javascript, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"design, writing, javascript, sql, data analysis, debugging",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, teaching, data analysis",Graphic Designer,"design, creativity, communication",0
"communication, sql, debugging, problem solving, teamwork",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"testing, leadership, problem solving, java",Graphic Designer,"design, creativity, communication",0
"design, machine learning, java",Project Manager,"leadership, project management, communication, teamwork",0
"design, writing, teaching, testing, teamwork, project management, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"debugging, design, problem solving, data analysis",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, teamwork, problem solving, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, java, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, design, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, project management, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, leadership, teaching, communication, project management",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, sql, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"problem solving, leadership, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"debugging, machine learning, sql, teaching, communication, writing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, writing, design, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, sql, problem solving, cloud computing, teaching, data analysis, creativity",Graphic Designer,"design, creativity, communication",0
"problem solving, java, javascript, cloud computing",Graphic Designer,"design, creativity, communication",0
"problem solving, machine learning, data analysis, project management, writing, creativity",Graphic Designer,"design, creativity, communication",0
"creativity, javascript, teaching, sql",Graphic Designer,"design, creativity, communication",0
"leadership, design, testing, communication, teaching, java, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"communication, leadership, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"data analysis, teamwork, communication, sql, problem solving, java",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, data analysis, machine learning, testing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teaching, testing, communication, writing, design, data analysis, creativity",Graphic Designer,"design, creativity, communication",1
"java, communication, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, writing, java, data analysis, leadership, python",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"cloud computing, sql, leadership, testing, design, machine learning, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, design, java, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, writing, cloud computing, testing, data analysis, python, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"cloud computing, java, teaching, leadership, communication, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, debugging, teaching, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, communication, writing, creativity, python, data analysis, javascript",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, sql, python, creativity, communication, cloud computing, leadership",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"sql, leadership, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"sql, problem solving, teaching",Graphic Designer,"design, creativity, communication",0
"machine learning, cloud computing, testing, problem solving, creativity, javascript, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"python, teamwork, problem solving, project management, leadership, creativity, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"creativity, teaching, design, debugging, writing",Project Manager,"leadership, project management, communication, teamwork",0
"design, debugging, python, testing, sql, teamwork, leadership",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, communication, writing, leadership, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, communication, debugging, teaching, machine learning, javascript, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"sql, debugging, python, machine learning, problem solving, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"javascript, creativity, java, cloud computing, leadership",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, communication, writing, creativity, testing, machine learning, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"design, project management, testing, java, javascript, teamwork, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"debugging, teamwork, communication, teaching, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, creativity, cloud computing, java",Graphic Designer,"design, creativity, communication",0
"debugging, design, problem solving, writing, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, writing, teamwork, testing, java, project management, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"cloud computing, teamwork, communication",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"debugging, design, python, project management, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"cloud computing, writing, sql",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"project management, java, leadership, teamwork, javascript, testing",Project Manager,"leadership, project management, communication, teamwork",1
"problem solving, java, javascript, writing",Project Manager,"leadership, project management, communication, teamwork",0
"project management, python, communication, teaching, javascript, cloud computing, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"communication, data analysis, javascript",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
